,USPS,ST,NAME,ZCTA5,LAT,LON
85,中国,CN,嘉兴市-3304,314000,30.655783333333332,120.75208333333333
86,中国,CN,湖州市-3305,313000,30.8703,120.0933
87,中国,CN,绍兴市-3306,311800,29.78304,120.6066
88,中国,CN,金华市-3307,321000,29.179762500000002,119.9336625
89,中国,CN,衢州市-3308,324000,28.8493,118.74569999999999
90,中国,CN,舟山市-3309,202400,30.297075,122.0182
91,中国,CN,台州市-3310,317000,28.655316666666668,121.24446666666667
92,中国,CN,丽水市-3311,317300,28.38482,119.7104
93,中国,CN,合肥市-3401,230000,31.27005,117.17371666666665
94,中国,CN,芜湖市-3402,241000,31.0586,118.64274999999999
95,中国,CN,蚌埠市-3403,233000,32.9408,117.3608
96,中国,CN,淮南市-3404,232000,32.6264,116.9969
97,中国,CN,马鞍山市-3405,238100,31.6429,118.1884
98,中国,CN,淮北市-3406,235000,33.9744,116.7917
99,中国,CN,铜陵市-3407,244000,30.95,117.7833
100,中国,CN,安庆市-3408,231400,30.609789999999997,117.11346
101,中国,CN,黄山市-3410,242700,29.891783333333333,118.40536666666668
102,中国,CN,滁州市-3411,233100,32.694300000000005,118.11995714285715
103,中国,CN,阜阳市-3412,236000,33.0817,115.5889
104,中国,CN,宿州市-3413,234000,33.65646666666667,116.68483333333332
105,中国,CN,六安市-3415,231300,31.5963,116.60826
106,中国,CN,亳州市-3416,233500,33.011250000000004,116.47485
107,中国,CN,池州市-3417,242800,30.456925000000002,118.03444999999999
108,中国,CN,宣城市-3418,242000,30.639085714285716,118.79011428571428
109,中国,CN,福州市-3501,350000,25.918888888888887,119.3988
110,中国,CN,厦门市-3502,361000,25.2174,117.8854
111,中国,CN,莆田市-3503,351100,25.4394,119.0103
112,中国,CN,三明市-3504,353300,26.487545454545455,117.65382727272727
113,中国,CN,泉州市-3505,362000,24.907114285714286,118.51527142857142
114,中国,CN,漳州市-3506,363000,24.5133,117.6556
115,中国,CN,南平市-3507,353000,27.126089999999998,118.05054
116,中国,CN,龙岩市-3508,364000,25.328842857142856,117.11562857142857
117,中国,CN,宁德市-3509,352100,27.026766666666667,119.79374444444444
118,中国,CN,南昌市-3601,330000,28.288419999999995,115.25324
119,中国,CN,景德镇市-3602,333000,29.13145,117.1622
120,中国,CN,萍乡市-3603,337000,27.616699999999998,113.8535
121,中国,CN,九江市-3604,330300,29.404249999999998,115.63015833333333
122,中国,CN,新余市-3605,336500,27.83765,114.73445000000001
123,中国,CN,鹰潭市-3606,335000,28.2333,117.0
124,中国,CN,赣州市-3607,341000,25.86167058823529,115.38331764705882
125,中国,CN,吉安市-3608,331300,27.067384615384615,115.09842307692308
126,中国,CN,宜春市-3609,330600,27.959719999999997,114.80233000000001
127,中国,CN,抚州市-3610,331800,27.997658333333334,116.33192499999998
128,中国,CN,上饶市-3611,333100,28.695916666666665,117.53224166666666
129,中国,CN,济南市-3701,250000,36.689662500000004,117.1517125
130,中国,CN,青岛市-3702,266000,36.4764125,120.26386250000002
131,中国,CN,淄博市-3703,255000,37.0066375,118.045825
132,中国,CN,枣庄市-3704,277000,34.97412,117.37242
133,中国,CN,东营市-3705,257000,37.4627,118.4917
134,中国,CN,烟台市-3706,261400,37.159318181818186,120.9357
135,中国,CN,潍坊市-3707,261000,36.592645454545455,119.18637272727271
136,中国,CN,济宁市-3708,272000,35.391363636363636,116.76156363636363
137,中国,CN,泰安市-3709,271000,36.119620000000005,117.25702
